Date,Tank,Treatment,Count1,Count2,Count3,Notes
20160803,Bin1,Low,6219,6140,,In Tank
20160803,Bin2,Ambient,9211,10447,,In Tank
20160803,Bin3,Ambient,6843,6756,,In Tank
20160803,Bin4,Super.Low,6851,7030,,In Tank
20160803,Bin5,Low,7237,7173,,In Tank
20160803,Bin6,Super.Low,7904,7741,,In Tank
20160803,Bin7,Ambient,10160,10005,,In Tank
20160803,Bin8,Low,5651,5850,,In Tank
20160803,Bin9,Super.Low,7439,5997,,In Tank
20160803,Bin10,Super.Low,4753,4800,,In Tank
20160803,Bin11,Ambient,10171,10003,,In Tank
20160803,Bin12,Low,8121,7997,,In Tank
20160805,Bin1,Low,13064,9315,11670,Incoming Water
20160805,Bin2,Ambient,12582,11803,12010,Incoming Water
20160805,Bin3,Ambient,14221,11901,13124,Incoming Water
20160805,Bin4,Super.Low,11306,12881,10983,Incoming Water
20160805,Bin5,Low,8710,11242,8818,Incoming Water
20160805,Bin6,Super.Low,12830,13936,13806,Incoming Water
20160805,Bin7,Ambient,9785,10098,9692,Incoming Water
20160805,Bin8,Low,9877,12631,10081,Incoming Water
20160805,Bin9,Super.Low,10701,12217,12715,Incoming Water
20160805,Bin10,Super.Low,10102,9603,9522,Incoming Water
20160805,Bin11,Ambient,12408,12880,NA,Incoming Water
20160805,Bin12,Low,NA,NA,NA,Incoming Water
20160811,Bin1,Low,42316,38883,38786,Incoming Water
20160811,Bin2,Ambient,35226,35409,35315,Incoming Water
20160811,Bin3,Ambient,36533,36857,36993,Incoming Water
20160811,Bin4,Super.Low,42129,38314,38205,Incoming Water
20160811,Bin5,Low,38747,38708,38519,Incoming Water
20160811,Bin6,Super.Low,38052,36337,36456,Incoming Water
20160811,Bin7,Ambient,32370,32431,32362,Incoming Water
20160811,Bin8,Low,32498,31401,32202,Incoming Water
20160811,Bin9,Super.Low,29256,31952,29240,Incoming Water
20160811,Bin10,Super.Low,31281,30853,31296,Incoming Water
20160811,Bin11,Ambient,31520,31363,31551,Incoming Water
20160811,Bin12,Low,31452,31113,31085,Incoming Water
