Date,Tank,Day,N,Timepoint,Treatment,Secondary,Length,Width,Area,Notes
20160316,11,0,1,Initial,Medium,NA,NA,NA,NA,
20160316,12,0,1,Initial,High,NA,NA,NA,NA,
20160316,13,0,1,Initial,Ambient,NA,NA,NA,NA,
20160316,14,0,1,Initial,Medium,NA,NA,NA,NA,
20160316,15,0,1,Initial,Ambient,NA,NA,NA,NA,
20160316,16,0,1,Initial,High,NA,NA,NA,NA,
20160317,11,1,1,Initial,Medium,NA,7.261,4.493,25.144,
20160317,11,1,1,Initial,Medium,NA,6.274,3.629,16.85,
20160317,12,1,1,Initial,High,NA,8.496,5.485,35.41,
20160317,12,1,1,Initial,High,NA,7.848,5.289,30.522,
20160317,13,1,1,Initial,Ambient,NA,7.401,4.373,25.203,
20160317,13,1,1,Initial,Ambient,NA,7.739,5.729,33.203,
20160317,14,1,1,Initial,Medium,NA,7.038,4.48,24.759,
20160317,14,1,1,Initial,Medium,NA,7.201,4.707,26.886,
20160317,15,1,1,Initial,Ambient,NA,6.839,4.415,22.114,
20160317,15,1,1,Initial,Ambient,NA,7.073,4.377,23.826,
20160317,16,1,1,Initial,High,NA,6.414,4.52,20.648,
20160317,16,1,1,Initial,High,NA,8.233,4.966,31.078,
20160326,11,10,1,Initial,Medium,NA,6.973,3.551,16.501,
20160326,11,10,1,Initial,Medium,NA,7.9,5.614,35.331,
20160326,11,10,1,Initial,Medium,NA,5.533,3.537,15.512,
20160326,11,10,1,Initial,Medium,NA,8.581,5.32,33.592,
20160326,11,10,1,Initial,Medium,NA,7.086,4.326,21.846,
20160326,11,10,1,Initial,Medium,NA,7.282,5.212,30.495,
20160326,11,10,1,Initial,Medium,NA,8.605,5.178,35.433,
20160326,11,10,1,Initial,Medium,NA,8.723,6.229,40.83,
20160326,12,10,1,Initial,High,NA,4.967,3.334,12.36,
20160326,12,10,1,Initial,High,NA,7.409,4.705,27.137,
20160326,12,10,1,Initial,High,NA,8.546,5.548,25.581,
20160326,12,10,1,Initial,High,NA,8.127,4.571,29.178,
20160326,12,10,1,Initial,High,NA,6.498,4.466,21.607,
20160326,12,10,1,Initial,High,NA,5.741,3.984,18.008,
20160326,12,10,1,Initial,High,NA,7.661,5.401,32.381,
20160326,12,10,1,Initial,High,NA,8.438,5.733,35.754,
20160326,13,10,1,Initial,Ambient,NA,6.797,4.596,25.154,
20160326,13,10,1,Initial,Ambient,NA,6.02,4.169,20.745,
20160326,13,10,1,Initial,Ambient,NA,7.949,5.056,30.757,
20160326,13,10,1,Initial,Ambient,NA,7.923,5.016,31.142,
20160326,13,10,1,Initial,Ambient,NA,6.107,4.318,19.828,
20160326,13,10,1,Initial,Ambient,NA,7.471,4.754,26.807,
20160326,13,10,1,Initial,Ambient,NA,6.899,4.601,27.21,
20160326,13,10,1,Initial,Ambient,NA,6.646,5.009,23.486,
20160326,14,10,1,Initial,Medium,NA,7.495,4.448,24.999,
20160326,14,10,1,Initial,Medium,NA,7.954,5.486,34.086,
20160326,14,10,1,Initial,Medium,NA,6.222,3.846,17.829,
20160326,14,10,1,Initial,Medium,NA,6.066,4.151,19.853,
20160326,14,10,1,Initial,Medium,NA,6.966,4.305,23.911,
20160326,14,10,1,Initial,Medium,NA,5.896,4.04,17.447,
20160326,14,10,1,Initial,Medium,NA,6.807,4.671,24.517,
20160326,14,10,1,Initial,Medium,NA,8.235,5.241,32.871,
20160326,15,10,1,Initial,Ambient,NA,7.861,5.42,32.05,
20160326,15,10,1,Initial,Ambient,NA,8.502,4.259,26.484,
20160326,15,10,1,Initial,Ambient,NA,7.064,4.894,26.422,
20160326,15,10,1,Initial,Ambient,NA,8.79,5.678,37.595,
20160326,15,10,1,Initial,Ambient,NA,7.175,4.367,24.024,
20160326,15,10,1,Initial,Ambient,NA,6.586,4.278,22.834,
20160326,15,10,1,Initial,Ambient,NA,6.161,3.744,18.049,
20160326,15,10,1,Initial,Ambient,NA,7.438,4.387,25.927,
20160326,16,10,1,Initial,High,NA,5.002,2.369,10.231,
20160326,16,10,1,Initial,High,NA,6.145,3.89,18.239,
20160326,16,10,1,Initial,High,NA,7.393,4.598,25.822,
20160326,16,10,1,Initial,High,NA,7.264,4.567,22.812,
20160326,16,10,1,Initial,High,NA,6.89,4.309,22.973,
20160326,16,10,1,Initial,High,NA,6.986,4.617,24.632,
20160326,16,10,1,Initial,High,NA,7.252,3.569,20.22,
20160326,16,10,1,Initial,High,NA,7.023,4.362,23.88,
20160408,11,23,1,Initial,Medium,NA,8.934,2.852,32.706,bad angle
20160408,11,23,1,Initial,Medium,NA,8.763,5.594,39.931,
20160408,11,23,1,Initial,Medium,NA,6.608,4.54,21.9,
20160408,11,23,1,Initial,Medium,NA,NA,NA,NA,bad angle
20160408,11,23,1,Initial,Medium,NA,7.262,3.695,20.881,
20160408,11,23,1,Initial,Medium,NA,NA,NA,NA,bad angle
20160408,11,23,1,Initial,Medium,NA,6.604,4.593,23.715,
20160408,11,23,1,Initial,Medium,NA,NA,NA,NA,bad angle
20160408,12,23,1,Initial,High,NA,8.46,5.482,33.544,
20160408,12,23,1,Initial,High,NA,8.356,4.169,25.855,
20160408,12,23,1,Initial,High,NA,7.884,4.659,31.066,
20160408,12,23,1,Initial,High,NA,8.948,5.984,43.597,
20160408,12,23,1,Initial,High,NA,8.385,5.653,34.527,
20160408,12,23,1,Initial,High,NA,6.306,4.244,21.261,
20160408,12,23,1,Initial,High,NA,9.003,5.983,37.31,
20160408,12,23,1,Initial,High,NA,7.56,4.182,24.747,
20160408,13,23,1,Initial,Ambient,NA,8.172,4.602,27.475,
20160408,13,23,1,Initial,Ambient,NA,8.066,5.454,34.605,
20160408,13,23,1,Initial,Ambient,NA,9.112,4.989,36.952,
20160408,13,23,1,Initial,Ambient,NA,8.955,5.225,39.881,
20160408,13,23,1,Initial,Ambient,NA,7.955,4.497,27.535,
20160408,13,23,1,Initial,Ambient,NA,11.098,6.296,54.414,
20160408,13,23,1,Initial,Ambient,NA,9.372,5.956,42.005,
20160408,13,23,1,Initial,Ambient,NA,8.459,4.362,28.28,
20160408,14,23,1,Initial,Medium,NA,8.513,5.563,34.629,
20160408,14,23,1,Initial,Medium,NA,7.787,5.466,30.07,
20160408,14,23,1,Initial,Medium,NA,7.549,3.989,23.413,
